experiment,status,full_oof_runs,partial_cv_runs,metric_json_count,public_submission_count,best_public_rmse
exp000,no_score_artifact,,,0,0,
exp001,partial_cv_only,,,1,2,0.7531995875751526
exp002,partial_cv_only,,,5,1,0.7479569114058262
exp003,full_oof,exp003,,5,1,0.7522576632294679
exp004,full_oof,exp004,,5,1,0.7252533726905589
exp005,full_oof,exp005,,5,1,0.7445524878914139
exp006,full_oof,exp006,,5,1,0.7450324204392412
exp007,public_only,,,0,1,0.7362157342148196
exp008,full_oof,exp008,,0,1,0.7250185237499447
exp009,full_oof,exp009,,5,1,0.7153438899106017
exp010,full_oof,exp010,,5,1,0.7348731115909746
exp011,full_oof,exp011,,5,1,0.7232307883574975
exp012,full_oof,exp012,,5,0,
exp013,full_oof,exp013,,5,0,
exp014,public_only,,,0,1,0.6968727727408199
exp015,full_oof,exp015,,0,1,0.7096658388930687
exp016,full_oof,exp016,,5,1,0.6977629323809645
exp017,full_oof,exp017,,5,1,0.6997414980565597
exp018,full_oof,exp018,,5,1,0.6929495140301676
exp021,no_score_artifact,,,0,0,
exp022,partial_cv_only,,,6,0,
exp023,full_oof,exp023/mean;exp023/median,,0,0,
exp024,public_only,,,0,3,0.6919274860606568
exp025,partial_cv_only,,,15,0,
exp026,public_only,,,0,1,0.6746506841387548
exp027,public_only,,,0,2,0.6806568162687938
exp028,partial_cv_only,,exp028,1,0,
exp029,partial_cv_only,,exp029,1,0,
exp030,full_oof,exp030,,1,0,
exp031,partial_cv_only,,,1,0,
exp032,partial_cv_only,,exp032,1,0,
exp033,public_only,,,0,1,0.671989922822016
exp034,no_score_artifact,,,0,0,
exp035,full_oof,exp035_no_dilation,,11,1,0.6860146267326392
exp036,public_only,,,0,5,0.6652621793536686
exp037,public_only,,,0,1,0.666259584999578
exp038,full_oof,exp038;exp038_canonical_only;exp038_features;exp038_sigmafixed,,32,3,0.6866381028699935
exp039,public_only,,,0,2,0.6619116739607654
exp040,full_oof,exp040_metric,,7,1,0.6955180267195701
exp041,partial_cv_only,,,4,0,
exp042,public_only,,,0,2,0.6607936278488564
exp043,no_score_artifact,,,0,0,
exp044,no_score_artifact,,,0,0,
exp045,partial_cv_only,,,2,0,
exp046,public_only,,,0,1,0.6889118106607066
exp047,full_oof,exp047;exp047_sigmafixed,,10,1,0.7001420620597125
exp048,partial_cv_only,,,2,0,
exp049,partial_cv_only,,,2,0,
exp050,full_oof,exp050;exp050_sigmafixed,,10,1,0.6870176972903309
exp051,full_oof,exp051,,5,0,
exp052,full_oof,exp052,,5,0,
exp053,partial_cv_only,,,2,0,
exp054,full_oof,exp054_midband,,7,0,
exp055,public_only,,,0,2,0.6872098507591518
exp056,full_oof,exp056;exp056_seed123;exp056_seed1337;exp056_seed2024;exp056_seed456;exp056_seed789,,34,7,0.6827721114076882
exp057,no_score_artifact,,,0,0,
exp058,no_score_artifact,,,0,0,
exp059,partial_cv_only,,,2,0,
exp060,partial_cv_only,,,2,0,
exp062,partial_cv_only,,,2,0,
exp063,partial_cv_only,,,6,0,
exp064,full_oof,exp064_effb3;exp064_effb4;exp064_effv2s;exp064_swin_lr2e4,,32,3,0.6704384663890527
exp065,public_only,,,0,1,0.6696622672831182
