run,experiment,fold,selection_metric,best_tile_rmse,best_rmse,selected_score,valid_rows,valid_locations,epochs_completed,source_path
exp001,exp001,,rmse,,0.7990195495379466,0.7990195495379466,3000,bihar;borno_state;gaza_province;kinshasa,3,g_model/exp001/metrics.json
exp002,exp002,0,rmse,,0.6451115216489155,0.6451115216489155,8590,france;friuli_venezia_giulia,20,g_model/exp002/metrics_fold0.json
exp002,exp002,1,rmse,,1.1075992527875775,1.1075992527875775,8700,borno_state;ecuador;gaza_province;guangdong;hat_yai,20,g_model/exp002/metrics_fold1.json
exp002,exp002,2,rmse,,1.1817904275771327,1.1817904275771327,7319,atlantic_coast;cape_town;central_philippines;jamaica,20,g_model/exp002/metrics_fold2.json
exp002,exp002,3,rmse,,1.4731953655264163,1.4731953655264163,7340,aceh;bahia_blanca;central_vietnam;dhaka,20,g_model/exp002/metrics_fold3.json
exp002,exp002,4,rmse,,0.9841859458657428,0.9841859458657428,8737,andalusia;bihar;florida;jakarta;kinshasa,20,g_model/exp002/metrics_fold4.json
exp003,exp003,0,rmse,,0.6489179762961311,0.6489179762961311,8590,france;friuli_venezia_giulia,20,g_model/exp003/metrics_fold0.json
exp003,exp003,1,rmse,,1.1122116774253878,1.1122116774253878,8700,borno_state;ecuador;gaza_province;guangdong;hat_yai,20,g_model/exp003/metrics_fold1.json
exp003,exp003,2,rmse,,1.1871873853846178,1.1871873853846178,7319,atlantic_coast;cape_town;central_philippines;jamaica,20,g_model/exp003/metrics_fold2.json
exp003,exp003,3,rmse,,1.4622563093959373,1.4622563093959373,7340,aceh;bahia_blanca;central_vietnam;dhaka,20,g_model/exp003/metrics_fold3.json
exp003,exp003,4,rmse,,0.9800805457593653,0.9800805457593653,8737,andalusia;bihar;florida;jakarta;kinshasa,20,g_model/exp003/metrics_fold4.json
exp004,exp004,0,rmse,,0.6475639694547606,0.6475639694547606,8590,france;friuli_venezia_giulia,20,g_model/exp004/metrics_fold0.json
exp004,exp004,1,rmse,,1.082149579347463,1.082149579347463,8700,borno_state;ecuador;gaza_province;guangdong;hat_yai,20,g_model/exp004/metrics_fold1.json
exp004,exp004,2,rmse,,1.1894840481945506,1.1894840481945506,7319,atlantic_coast;cape_town;central_philippines;jamaica,20,g_model/exp004/metrics_fold2.json
exp004,exp004,3,rmse,,1.45456821545829,1.45456821545829,7340,aceh;bahia_blanca;central_vietnam;dhaka,20,g_model/exp004/metrics_fold3.json
exp004,exp004,4,rmse,,0.9772645017484357,0.9772645017484357,8737,andalusia;bihar;florida;jakarta;kinshasa,20,g_model/exp004/metrics_fold4.json
exp005,exp005,0,rmse,,0.6556985494834446,0.6556985494834446,8590,france;friuli_venezia_giulia,20,g_model/exp005/metrics_fold0.json
exp005,exp005,1,rmse,,1.0948162977263132,1.0948162977263132,8700,borno_state;ecuador;gaza_province;guangdong;hat_yai,20,g_model/exp005/metrics_fold1.json
exp005,exp005,2,rmse,,1.197506962629894,1.197506962629894,7319,atlantic_coast;cape_town;central_philippines;jamaica,20,g_model/exp005/metrics_fold2.json
exp005,exp005,3,rmse,,1.4713288585770874,1.4713288585770874,7340,aceh;bahia_blanca;central_vietnam;dhaka,20,g_model/exp005/metrics_fold3.json
exp005,exp005,4,rmse,,1.000568383354526,1.000568383354526,8737,andalusia;bihar;florida;jakarta;kinshasa,20,g_model/exp005/metrics_fold4.json
exp006,exp006,0,rmse,,0.6544549854170844,0.6544549854170844,8590,france;friuli_venezia_giulia,20,g_model/exp006/metrics_fold0.json
exp006,exp006,1,rmse,,1.0979207897926258,1.0979207897926258,8700,borno_state;ecuador;gaza_province;guangdong;hat_yai,20,g_model/exp006/metrics_fold1.json
exp006,exp006,2,rmse,,1.2091437204761926,1.2091437204761926,7319,atlantic_coast;cape_town;central_philippines;jamaica,20,g_model/exp006/metrics_fold2.json
exp006,exp006,3,rmse,,1.4644822278603953,1.4644822278603953,7340,aceh;bahia_blanca;central_vietnam;dhaka,20,g_model/exp006/metrics_fold3.json
exp006,exp006,4,rmse,,0.973545890001758,0.973545890001758,8737,andalusia;bihar;florida;jakarta;kinshasa,20,g_model/exp006/metrics_fold4.json
exp009,exp009,0,tile_rmse,0.32631640170589177,0.6577919365896606,0.32631640170589177,8590,france;friuli_venezia_giulia,20,g_model/exp009/metrics_fold0.json
exp009,exp009,1,tile_rmse,0.7402300901522582,1.0762144806044802,0.7402300901522582,8700,borno_state;ecuador;gaza_province;guangdong;hat_yai,20,g_model/exp009/metrics_fold1.json
exp009,exp009,2,tile_rmse,0.6634702092556537,1.143951702581152,0.6634702092556537,7319,atlantic_coast;cape_town;central_philippines;jamaica,20,g_model/exp009/metrics_fold2.json
exp009,exp009,3,tile_rmse,0.8217811929432508,1.4801099857621136,0.8217811929432508,7340,aceh;bahia_blanca;central_vietnam;dhaka,20,g_model/exp009/metrics_fold3.json
exp009,exp009,4,tile_rmse,0.6037659906435029,0.9793542435757681,0.6037659906435029,8737,andalusia;bihar;florida;jakarta;kinshasa,20,g_model/exp009/metrics_fold4.json
exp010,exp010,0,tile_rmse,0.3301014276613873,0.6478916012531207,0.3301014276613873,8590,france;friuli_venezia_giulia,20,g_model/exp010/metrics_fold0.json
exp010,exp010,1,tile_rmse,0.7347982288818412,1.1289354284992204,0.7347982288818412,8699,bihar;borno_state;ecuador;gaza_province;hat_yai,20,g_model/exp010/metrics_fold1.json
exp010,exp010,2,tile_rmse,0.4722472217832963,0.8985886059292745,0.4722472217832963,7318,atlantic_coast;cape_town;central_philippines;dhaka,20,g_model/exp010/metrics_fold2.json
exp010,exp010,3,tile_rmse,1.0392392944269395,1.59325361893437,1.0392392944269395,7338,aceh;bahia_blanca;central_vietnam;jakarta,20,g_model/exp010/metrics_fold3.json
exp010,exp010,4,tile_rmse,0.6724336445058658,1.1212091956740997,0.6724336445058658,8736,andalusia;florida;guangdong;jamaica;kinshasa,20,g_model/exp010/metrics_fold4.json
exp011,exp011,0,tile_rmse,0.3085205327715113,0.6369351029707548,0.3085205327715113,8590,france;friuli_venezia_giulia,20,g_model/exp011/metrics_fold0.json
exp011,exp011,1,tile_rmse,0.7539310886668062,1.1094353905398484,0.7539310886668062,8700,borno_state;ecuador;gaza_province;guangdong;hat_yai,20,g_model/exp011/metrics_fold1.json
exp011,exp011,2,tile_rmse,0.6941215771846325,1.207572249795596,0.6941215771846325,7319,atlantic_coast;cape_town;central_philippines;jamaica,20,g_model/exp011/metrics_fold2.json
exp011,exp011,3,tile_rmse,0.834953324387119,1.4986234894080832,0.834953324387119,7340,aceh;bahia_blanca;central_vietnam;dhaka,20,g_model/exp011/metrics_fold3.json
exp011,exp011,4,tile_rmse,0.6166739880636162,0.9839841314386096,0.6166739880636162,8737,andalusia;bihar;florida;jakarta;kinshasa,20,g_model/exp011/metrics_fold4.json
exp012,exp012,0,tile_rmse,0.301497499101792,0.6314714885257711,0.301497499101792,8590,france;friuli_venezia_giulia,20,g_model/exp012/metrics_fold0.json
exp012,exp012,1,tile_rmse,0.7316611705977342,1.0779145068874982,0.7316611705977342,8700,borno_state;ecuador;gaza_province;guangdong;hat_yai,20,g_model/exp012/metrics_fold1.json
